state,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Arizona,75.71666717529297,96.16666412353516,102.71666717529297,122.69999694824219,124.21666717529297,135.53334045410156,150.5,164.0500030517578,192.5833282470703,236.25,202.0,201.0,235.0
New Jersey,151.63333129882812,137.8333282470703,143.81666564941406,140.3333282470703,164.13333129882812,179.28334045410156,188.93333435058594,241.5833282470703,216.11666870117188,340.25,272.0,264.0,241.0
Hawaii,339.2264099121094,381.0714416503906,388.71429443359375,398.75860595703125,411.8888854980469,448.8474426269531,474.3157958984375,444.5833435058594,465.6551818847656,554.5762939453125,459.0,548.0,587.0
Minnesota,92.18333435058594,100.81666564941406,109.18333435058594,114.80000305175781,121.36666870117188,130.28334045410156,140.93333435058594,149.25,156.4166717529297,170.18333435058594,189.0,183.0,199.0
Alaska,140.3125,144.5625,148.3958282470703,153.9375,156.2916717529297,155.9166717529297,154.9583282470703,157.4583282470703,164.5208282470703,178.625,214.0,229.0,202.0
Vermont,129.25,127.01667022705078,125.9000015258789,118.55000305175781,126.06666564941406,128.81666564941406,133.03334045410156,139.3333282470703,152.8000030517578,186.88333129882812,176.0,183.0,205.0
Georgia,54.81666564941406,76.78333282470703,87.9000015258789,97.43333435058594,105.44999694824219,115.25,125.8499984741211,135.96665954589844,146.06666564941406,168.5500030517578,169.0,227.0,162.0
South Carolina,87.19999694824219,94.91666412353516,98.93333435058594,107.78333282470703,115.94999694824219,126.6500015258789,132.25,137.26666259765625,142.60000610351562,168.76666259765625,112.0,101.0,163.0
Wisconsin,66.41666412353516,68.58333587646484,76.11864471435547,80.38333129882812,90.93333435058594,98.41666412353516,105.28333282470703,110.93333435058594,134.23333740234375,135.46665954589844,79.0,141.0,172.0
Florida,71.91666412353516,86.01667022705078,102.11666870117188,115.28333282470703,126.21666717529297,137.01666259765625,147.39999389648438,154.3000030517578,167.4166717529297,201.85000610351562,124.0,165.0,181.0
Ohio,60.28333282470703,63.41666793823242,66.31666564941406,68.98332977294922,74.91666412353516,80.88333129882812,86.38333129882812,92.43333435058594,101.11666870117188,116.98332977294922,184.0,130.0,124.0
Idaho,86.8499984741211,98.19999694824219,105.25,111.46666717529297,123.66666412353516,135.38333129882812,154.9499969482422,174.3333282470703,199.51666259765625,267.01666259765625,220.0,237.0,260.0
Arkansas,76.56818389892578,72.4000015258789,76.01667022705078,80.11666870117188,83.13333129882812,85.31666564941406,89.31666564941406,96.38333129882812,105.18333435058594,120.83333587646484,121.0,142.0,140.0
New Hampshire,101.4000015258789,107.6500015258789,111.55000305175781,115.53333282470703,122.4000015258789,130.96665954589844,139.13333129882812,147.85000610351562,164.1666717529297,194.60000610351562,180.0,216.0,217.0
New York,128.43333435058594,132.03334045410156,137.0833282470703,143.23333740234375,275.4666748046875,366.5,373.95001220703125,369.98333740234375,362.3500061035156,409.2166748046875,359.0,393.0,337.0
Nevada,61.18333435058594,81.48332977294922,93.18333435058594,101.61666870117188,111.06666564941406,126.41666412353516,149.53334045410156,159.43333435058594,169.18333435058594,204.5500030517578,181.0,239.0,222.0
Iowa,89.80769348144531,89.71154022216797,99.53191375732422,103.0,108.64705657958984,110.78845977783203,122.2448959350586,131.1041717529297,135.2083282470703,145.27450561523438,135.0,138.0,169.0
Mississippi,59.43333435058594,64.46666717529297,69.88333129882812,77.4000015258789,78.0,82.94999694824219,86.5999984741211,93.1500015258789,100.70689392089844,118.25,123.0,136.0,125.0
Oklahoma,62.099998474121094,66.28333282470703,63.06666564941406,72.73332977294922,79.86666870117188,82.51667022705078,83.66666412353516,87.6500015258789,95.81666564941406,106.96666717529297,122.0,110.0,83.0
Rhode Island,105.35416412353516,114.28571319580078,118.79166412353516,122.625,129.0833282470703,140.06121826171875,141.86000061035156,148.1999969482422,162.7346954345703,190.0399932861328,211.0,238.0,213.0
North Carolina,118.26667022705078,90.76667022705078,96.75,98.16666412353516,104.81666564941406,112.01667022705078,122.5999984741211,131.88333129882812,143.35000610351562,169.21665954589844,199.0,217.0,264.0
Delaware,90.43333435058594,92.83333587646484,100.73332977294922,105.41666412353516,103.96666717529297,106.75,112.33333587646484,113.0,123.01695251464844,142.6271209716797,149.0,144.0,171.0
Maine,79.0999984741211,44.0,47.8125,84.0625,118.37735748291016,132.2280731201172,143.59649658203125,150.60714721679688,160.60000610351562,194.6724090576172,180.0,201.0,245.0
Connecticut,102.0204086303711,104.08333587646484,102.9375,103.60416412353516,175.2142791748047,162.61817932128906,132.48077392578125,140.25489807128906,182.4107208251953,218.13333129882812,253.0,252.0,271.0
Nebraska,75.43333435058594,258.1833190917969,84.18333435058594,89.03333282470703,91.51667022705078,98.83333587646484,102.96666717529297,109.6500015258789,116.61666870117188,135.1999969482422,149.0,160.0,145.0
